date,FIND EQA directory (COVID-19),FIND Test directory (COVID-19),FIND Test directory (Ebola),FIND Test directory (Monkeypox),FIND Test directory (NTDs),FIND Test directory (Outbreaks),FIND Test directory (AMR),FIND Test directory (TB)
2021-02-01,0,51,0,0,0,NA,NA,NA
2021-02-08,0,8,0,0,0,NA,NA,NA
2021-02-15,0,384,0,0,0,NA,NA,NA
2021-02-22,0,644,0,0,0,NA,NA,NA
2021-03-01,0,898,0,0,0,NA,NA,NA
2021-03-08,0,771,0,0,0,NA,NA,NA
2021-03-15,0,704,0,0,0,NA,NA,NA
2021-03-22,0,756,0,0,0,NA,NA,NA
2021-03-29,0,545,0,0,0,NA,NA,NA
2021-04-05,0,693,0,0,0,NA,NA,NA
2021-04-12,0,919,0,0,0,NA,NA,NA
2021-04-19,0,688,0,0,0,NA,NA,NA
2021-04-26,0,839,0,0,0,NA,NA,NA
2021-05-03,0,699,0,0,0,NA,NA,NA
2021-05-10,0,615,0,0,0,NA,NA,NA
2021-05-17,0,604,0,0,0,NA,NA,NA
2021-05-24,0,606,0,0,0,NA,NA,NA
2021-05-31,0,531,0,0,0,NA,NA,NA
2021-06-07,0,564,0,0,0,NA,NA,NA
2021-06-14,0,660,0,0,0,NA,NA,NA
2021-06-21,0,586,0,0,0,NA,NA,NA
2021-06-28,0,578,0,0,0,NA,NA,NA
2021-07-05,0,620,0,0,0,NA,NA,NA
2021-07-12,0,710,0,0,0,NA,NA,NA
2021-07-19,0,637,0,0,0,NA,NA,NA
2021-07-26,0,551,0,0,0,NA,NA,NA
2021-08-02,0,557,0,0,0,NA,NA,NA
2021-08-09,0,649,0,0,0,NA,NA,NA
2021-08-16,0,557,0,0,0,NA,NA,NA
2021-08-23,0,596,0,0,0,NA,NA,NA
2021-08-30,0,622,0,0,0,NA,NA,NA
2021-09-06,0,577,0,0,0,NA,NA,NA
2021-09-13,0,596,0,0,0,NA,NA,NA
2021-09-20,0,599,0,0,0,NA,NA,NA
2021-09-27,0,479,0,0,0,NA,NA,NA
2021-10-04,0,511,0,0,0,NA,NA,NA
2021-10-11,0,542,0,0,0,NA,NA,NA
2021-10-18,0,391,0,0,0,NA,NA,NA
2021-10-25,0,487,0,0,0,NA,NA,NA
2021-11-01,0,373,0,0,0,NA,NA,NA
2021-11-08,0,437,0,0,0,NA,NA,NA
2021-11-15,0,416,0,0,0,NA,NA,NA
2021-11-22,0,488,0,0,0,NA,NA,NA
2021-11-29,0,944,0,0,0,NA,NA,NA
2021-12-06,0,646,0,0,0,NA,NA,NA
2021-12-13,0,712,0,0,0,NA,NA,NA
2021-12-20,0,604,0,0,0,NA,NA,NA
2021-12-27,0,578,0,0,0,NA,NA,NA
2022-01-03,0,864,0,0,0,NA,NA,NA
2022-01-10,0,864,0,0,0,NA,NA,NA
2022-01-17,0,706,0,0,0,NA,NA,NA
2022-01-24,0,591,0,0,0,NA,NA,NA
2022-01-31,0,214,0,0,0,NA,NA,NA
2022-02-07,0,259,0,0,0,NA,NA,NA
2022-02-14,0,158,0,0,0,NA,NA,NA
2022-02-21,0,0,0,0,0,NA,NA,NA
2022-02-28,0,341,0,0,0,NA,NA,NA
2022-03-07,0,287,0,0,0,NA,NA,NA
2022-03-14,0,271,0,0,0,NA,NA,NA
2022-03-21,0,258,0,0,0,NA,NA,NA
2022-03-28,0,223,0,0,0,NA,NA,NA
2022-04-04,0,200,0,0,0,NA,NA,NA
2022-04-11,0,194,0,0,0,NA,NA,NA
2022-04-18,0,169,0,0,0,NA,NA,NA
2022-04-25,0,165,0,0,0,NA,NA,NA
2022-05-02,0,140,0,0,0,NA,NA,NA
2022-05-09,0,170,0,0,0,NA,NA,NA
2022-05-16,0,146,0,0,0,NA,NA,NA
2022-05-23,0,131,0,572,0,NA,NA,NA
2022-05-30,0,155,0,649,0,NA,NA,NA
2022-06-06,0,191,0,491,0,NA,NA,NA
2022-06-13,0,200,0,399,0,NA,NA,NA
2022-06-20,0,166,0,332,0,NA,NA,NA
2022-06-27,0,185,0,253,0,NA,NA,NA
2022-07-04,0,208,0,203,0,NA,NA,NA
2022-07-11,0,240,0,203,0,NA,NA,NA
2022-07-18,0,152,0,317,0,NA,NA,NA
2022-07-25,0,185,0,450,0,NA,NA,NA
2022-08-01,0,172,0,503,0,NA,NA,NA
2022-08-08,0,162,0,340,0,NA,NA,NA
2022-08-15,0,152,0,290,0,NA,NA,NA
2022-08-22,0,164,0,347,0,NA,NA,NA
2022-08-29,0,157,0,287,0,NA,NA,NA
2022-09-05,0,112,0,217,0,NA,NA,NA
2022-09-12,0,150,0,144,0,NA,NA,NA
2022-09-19,0,148,0,150,0,NA,NA,NA
2022-09-26,0,142,0,118,8,NA,NA,NA
2022-10-03,0,188,0,129,23,NA,NA,NA
2022-10-10,0,138,0,105,129,NA,NA,NA
2022-10-17,0,227,0,218,231,NA,NA,NA
2022-10-24,11,126,2,86,50,NA,NA,NA
2022-10-31,4,178,135,62,69,NA,NA,NA
2022-11-07,7,141,69,71,74,NA,NA,NA
2022-11-14,8,105,33,58,31,NA,NA,NA
2022-11-21,4,120,23,47,69,NA,NA,NA
2022-11-28,4,112,28,42,27,NA,NA,NA
2022-12-05,4,84,43,27,40,NA,NA,NA
2022-12-12,2,70,16,25,30,NA,NA,NA
2022-12-19,0,0,0,0,0,NA,NA,NA
2022-12-26,0,1,1,0,0,NA,NA,NA
2023-01-02,NA,79,NA,NA,NA,29,NA,NA
2023-01-09,NA,183,NA,NA,NA,45,NA,NA
2023-01-16,NA,146,NA,NA,NA,57,NA,NA
2023-01-23,NA,93,NA,NA,NA,24,NA,NA
2023-01-30,NA,126,NA,NA,NA,28,NA,NA
2023-02-06,NA,100,NA,NA,NA,31,NA,NA
2023-02-13,NA,78,NA,NA,NA,28,NA,NA
2023-02-20,NA,135,NA,NA,NA,19,NA,NA
2023-02-27,NA,105,NA,NA,NA,33,NA,NA
2023-03-06,NA,83,NA,NA,NA,22,NA,NA
2023-03-13,NA,50,NA,NA,NA,18,NA,NA
2023-03-20,NA,46,NA,NA,NA,22,NA,NA
2023-03-27,NA,91,NA,NA,NA,55,NA,NA
2023-04-03,NA,84,NA,NA,NA,21,99,NA
2023-04-10,NA,87,NA,NA,NA,24,266,NA
2023-04-17,NA,48,NA,NA,NA,14,170,NA
2023-04-24,NA,41,NA,NA,NA,32,80,NA
2023-05-01,NA,45,NA,NA,NA,18,54,NA
2023-05-08,NA,59,NA,NA,NA,25,67,NA
2023-05-15,NA,45,NA,NA,NA,20,70,NA
2023-05-22,NA,35,NA,NA,NA,6,67,NA
2023-05-29,NA,37,NA,NA,NA,7,62,NA
2023-06-05,NA,39,NA,NA,NA,15,41,NA
2023-06-12,NA,54,NA,NA,NA,24,50,NA
2023-06-19,NA,56,NA,NA,NA,18,41,NA
2023-06-26,NA,54,NA,NA,NA,28,25,NA
2023-07-03,NA,28,NA,NA,NA,7,31,NA
2023-07-10,NA,58,NA,NA,NA,22,51,NA
2023-07-17,NA,49,NA,NA,NA,8,37,NA
2023-07-24,NA,24,NA,NA,NA,5,22,NA
2023-07-31,NA,26,NA,NA,NA,12,20,NA
2023-08-07,NA,34,NA,NA,NA,46,31,NA
2023-08-14,NA,49,NA,NA,NA,14,35,NA
2023-08-21,NA,37,NA,NA,NA,26,29,NA
2023-08-28,NA,32,NA,NA,NA,20,27,NA
2023-09-04,NA,39,NA,NA,NA,14,67,NA
2023-09-11,NA,48,NA,NA,NA,14,67,NA
2023-09-18,NA,63,NA,NA,NA,31,66,NA
2023-09-25,NA,35,NA,NA,NA,9,50,NA
2023-10-02,NA,31,NA,NA,NA,21,47,NA
2023-10-09,NA,21,NA,NA,NA,15,29,NA
2023-10-16,NA,28,NA,NA,NA,32,44,NA
2023-10-23,NA,39,NA,NA,NA,21,37,NA
2023-10-30,NA,35,NA,NA,NA,13,41,NA
2023-11-06,NA,17,NA,NA,NA,5,27,26
